tag,family,active_keys,max_entries,key_size,value_size,environment,run,case,real_ns_per_invocation,control_ns_per_invocation,net_ns_per_helper
val0064,value,512,1024,4,64,kernel,5,percpu_hash_lookup,24566.892800000,2684.627200000,21.882265600
val0064,value,512,1024,4,64,kernel,5,percpu_hash_update,67608.019200000,5599.276800000,62.008742400
val0064,value,512,1024,4,64,bpftime,1,hash_lookup,45628.934400000,1199.609600000,44.429324800
val0064,value,512,1024,4,64,bpftime,1,hash_update,44250.892800000,4451.104000000,39.799788800
val0064,value,512,1024,4,64,bpftime,1,percpu_hash_lookup,154943.008000000,1199.609600000,153.743398400
val0064,value,512,1024,4,64,bpftime,1,percpu_hash_update,408487.193600000,4451.104000000,404.036089600
val0064,value,512,1024,4,64,bpftime,2,hash_lookup,45082.009600000,1181.529600000,43.900480000
val0064,value,512,1024,4,64,bpftime,2,hash_update,43910.720000000,4434.758400000,39.475961600
val0064,value,512,1024,4,64,bpftime,2,percpu_hash_lookup,155524.211200000,1181.529600000,154.342681600
val0064,value,512,1024,4,64,bpftime,2,percpu_hash_update,406816.070400000,4434.758400000,402.381312000
val0064,value,512,1024,4,64,bpftime,3,hash_lookup,45354.348800000,1181.024000000,44.173324800
val0064,value,512,1024,4,64,bpftime,3,hash_update,43609.312000000,4219.584000000,39.389728000
val0064,value,512,1024,4,64,bpftime,3,percpu_hash_lookup,155871.852800000,1181.024000000,154.690828800
val0064,value,512,1024,4,64,bpftime,3,percpu_hash_update,407043.366400000,4219.584000000,402.823782400
